-END TIME-,-START TIME-
1505355882.917054,1505355882.866778
1505355885.149127,1505355885.139052
1505355887.270753,1505355887.243894
1505355890.187744,1505355890.165069
1505355892.316759,1505355892.298666
1505355894.483226,1505355894.472240
1505355896.572182,1505355896.560989
1505355898.746794,1505355898.738096
1505355900.849146,1505355900.840703
1505355904.077302,1505355904.047486
1505355906.983697,1505355906.971550
1505355909.859090,1505355909.832046
1505355912.300972,1505355912.292620
1505355914.914856,1505355914.907245
1505355917.415445,1505355917.406818
1505355920.677588,1505355920.644813
1505355923.219034,1505355923.208335
1505355925.669767,1505355925.637587
1505355928.312776,1505355928.305029
1505355930.911336,1505355930.901427
1505355933.437444,1505355933.414849
1505355936.452900,1505355936.409078
1505355939.099267,1505355939.091550
1505355941.526984,1505355941.515792
1505355944.002781,1505355943.992440
1505355946.457137,1505355946.437057
1505355949.573277,1505355949.567454
1505355952.411306,1505355952.402369
1505355954.766960,1505355954.760360
1505355957.314066,1505355957.304163
1505355959.793739,1505355959.785636
1505355962.269083,1505355962.230258
1505355964.864948,1505355964.856456
1505355967.486177,1505355967.455253
1505355970.177595,1505355970.165365
1505355972.770000,1505355972.755707
1505355975.189878,1505355975.181721
1505355977.736420,1505355977.718771
1505355981.372041,1505355981.360835
1505355983.942087,1505355983.914112
1505355986.521740,1505355986.512447
1505355988.982190,1505355988.940793
1505355991.454985,1505355991.446111
1505355993.984850,1505355993.964454
1505355996.428707,1505355996.423055
1505355999.091161,1505355999.076604
1505356001.509648,1505356001.498648
1505356003.934087,1505356003.910218
1505356006.638121,1505356006.629580
1505356009.791878,1505356009.768213
1505356012.579657,1505356012.542490
1505356015.245736,1505356015.219864
1505356018.320837,1505356018.260914
1505356021.326238,1505356021.308756
1505356023.657636,1505356023.624345
1505356025.866800,1505356025.845906
1505356028.011104,1505356027.964103
1505356030.115952,1505356030.099473
1505356032.256611,1505356032.217775
1505356034.391611,1505356034.369597
1505356036.537970,1505356036.499624
1505356038.671290,1505356038.632233
1505356041.662230,1505356041.651796
1505356043.708358,1505356043.697027
1505356045.814272,1505356045.789395
1505356047.895557,1505356047.885342
1505356050.033147,1505356050.024560
1505356052.106867,1505356052.076713
1505356054.198995,1505356054.179751
1505356056.419992,1505356056.411937
1505356058.455982,1505356058.437607
1505356060.529235,1505356060.512630
1505356062.661200,1505356062.633871
1505356064.742178,1505356064.736632
1505356066.892642,1505356066.860562
1505356069.747915,1505356069.623495
1505356072.104042,1505356072.095316
1505356074.148105,1505356074.117734
1505356076.276829,1505356076.251387
1505356078.356130,1505356078.347805
1505356080.470955,1505356080.464407
1505356082.602435,1505356082.584153
1505356084.732056,1505356084.708183
1505356086.908395,1505356086.900480
1505356088.987560,1505356088.982663
1505356091.198308,1505356091.179125
1505356093.287007,1505356093.278872
1505356095.321089,1505356095.305919
1505356097.499712,1505356097.492919
1505356100.357865,1505356100.343619
1505356102.492496,1505356102.467788
1505356104.612914,1505356104.577725
1505356106.770898,1505356106.749413
1505356108.776584,1505356108.758199
1505356110.843809,1505356110.827178
1505356113.011131,1505356112.983858
1505356115.158023,1505356115.145531
1505356117.231295,1505356117.213087
1505356119.418276,1505356119.402520
1505356121.475663,1505356121.467590
-END TIME-,-START TIME-
1505760158.761758,1505760158.745501
1505760175.596291,1505760175.579033
1505760178.136583,1505760178.128017
1505760180.788715,1505760180.767016
1505760183.144305,1505760183.135212
1505760185.548967,1505760185.540130
1505760187.942976,1505760187.919871
1505760190.486315,1505760190.459605
1505760193.066044,1505760193.049413
1505760195.625960,1505760195.614881
1505760198.345146,1505760198.303043
1505760202.386540,1505760202.372555
1505760204.807542,1505760204.796275
1505760207.131460,1505760207.121598
1505760209.611485,1505760209.592599
1505760211.947229,1505760211.925097
1505760214.213448,1505760214.207269
1505760216.522097,1505760216.511756
1505760218.867129,1505760218.858014
1505760221.042019,1505760221.033796
1505760223.206473,1505760223.200283
1505760225.535534,1505760225.530183
1505760227.765106,1505760227.751251
1505760231.357972,1505760231.352182
1505760233.655968,1505760233.589083
1505760235.939560,1505760235.901181
1505760238.162861,1505760238.158584
1505760240.498729,1505760240.466424
1505760242.786456,1505760242.774222
1505760245.091566,1505760245.072350
1505760247.320919,1505760247.311485
1505760249.584290,1505760249.523310
1505760251.860330,1505760251.834602
1505760254.261642,1505760254.254620
1505760256.653249,1505760256.649019
1505760260.783020,1505760260.767047
1505760262.968477,1505760262.961466
1505760266.073048,1505760266.063814
1505760269.191504,1505760269.171759
1505760272.486521,
